Zipcode,Neighborhood,,
94102,Hayes Valley,,
94102,Tenderloin,,
94102,North of Market,,
94103,South of Market,,
94107,Potrero Hill,,
94108,Chinatown ,,
94109,Polk,,
94109,Russian Hill (Nob Hill),,
94110,Inner Mission,,
94110,Bernal Heights,,
94112,Ingelside-Excelsior,,
94112,Crocker-Amazon,,
94114,Castro,,
94114,Noe Valley ,,
94115,Western Addition,,
94115,Japantown,,
94116,Parkside,,
94116,Forest Hill ,,
94117,Haight-Ashbury,,
94118,Inner Richmond ,,
94121,Outer Richmond ,,
94122,Sunset,,
94123,Marina,,
94124,Bayview-Hunters Point ,,
94127,St. Francis Wood,,
94127,Miraloma,,
94127,West Portal,,
94131,Twin Peaks-Glen Park,,
94132,Lake Merced ,,
94133,North Beach,,
94133,Chinatown,,
94134,Visitacion Valley,,
94134,Sunnydale,,
94102,Hayes Valley,,
94102,Tenderloin,,
94102,North of Market,,
94103,South of Market,,
94107,Potrero Hill,,
94108,Chinatown ,,
94109,Polk,,
94109,Russian Hill (Nob Hill),,
94110,Inner Mission,,
94110,Bernal Heights,,
94112,Ingelside-Excelsior,,
94112,Crocker-Amazon,,
94114,Castro,,
94114,Noe Valley ,,
94115,Western Addition,,
94115,Japantown,,
94116,Parkside,,
94116,Forest Hill ,,
94117,Haight-Ashbury,,
94118,Inner Richmond ,,
94121,Outer Richmond ,,
94122,Sunset,,
94123,Marina,,
94124,Bayview-Hunters Point ,,
94127,St. Francis Wood,,
94127,Miraloma,,
94127,West Portal,,
94131,Twin Peaks-Glen Park,,
94132,Lake Merced ,,
94133,North Beach,,
94133,Chinatown,,
94134,Visitacion Valley,,
94134,Sunnydale,,
